2023-05-16 13:39:56 status unpacked libexpat1:arm64 2.2.10-2+deb11u5
2023-05-16 13:39:56 status half-configured libexpat1:arm64 2.2.10-2+deb11u5
2023-05-16 13:39:56 status installed libexpat1:arm64 2.2.10-2+deb11u5
2023-05-16 13:39:56 configure libpsl5:arm64 0.21.0-1.2 <none>
2023-05-16 13:39:56 status unpacked libpsl5:arm64 0.21.0-1.2
2023-05-16 13:39:56 status half-configured libpsl5:arm64 0.21.0-1.2
2023-05-16 13:39:56 status installed libpsl5:arm64 0.21.0-1.2
2023-05-16 13:39:56 configure unzip:arm64 6.0-26+deb11u1 <none>
2023-05-16 13:39:56 status unpacked unzip:arm64 6.0-26+deb11u1
2023-05-16 13:39:56 status half-configured unzip:arm64 6.0-26+deb11u1
2023-05-16 13:39:56 status installed unzip:arm64 6.0-26+deb11u1
2023-05-16 13:39:56 configure perl-modules-5.32:all 5.32.1-4+deb11u2 <none>
2023-05-16 13:39:56 status unpacked perl-modules-5.32:all 5.32.1-4+deb11u2
2023-05-16 13:39:56 status half-configured perl-modules-5.32:all 5.32.1-4+deb11u2
2023-05-16 13:39:56 status installed perl-modules-5.32:all 5.32.1-4+deb11u2
2023-05-16 13:39:56 configure libbrotli1:arm64 1.0.9-2+b2 <none>
2023-05-16 13:39:56 status unpacked libbrotli1:arm64 1.0.9-2+b2
2023-05-16 13:39:56 status half-configured libbrotli1:arm64 1.0.9-2+b2
2023-05-16 13:39:56 status installed libbrotli1:arm64 1.0.9-2+b2
2023-05-16 13:39:56 configure libsqlite3-0:arm64 3.34.1-3 <none>
2023-05-16 13:39:56 status unpacked libsqlite3-0:arm64 3.34.1-3
2023-05-16 13:39:56 status half-configured libsqlite3-0:arm64 3.34.1-3
2023-05-16 13:39:56 status installed libsqlite3-0:arm64 3.34.1-3
2023-05-16 13:39:56 configure libcbor0:arm64 0.5.0+dfsg-2 <none>
2023-05-16 13:39:56 status unpacked libcbor0:arm64 0.5.0+dfsg-2
2023-05-16 13:39:56 status half-configured libcbor0:arm64 0.5.0+dfsg-2
2023-05-16 13:39:56 status installed libcbor0:arm64 0.5.0+dfsg-2
2023-05-16 13:39:56 configure libnghttp2-14:arm64 1.43.0-1 <none>
2023-05-16 13:39:56 status unpacked libnghttp2-14:arm64 1.43.0-1
2023-05-16 13:39:56 status half-configured libnghttp2-14:arm64 1.43.0-1
2023-05-16 13:39:56 status installed libnghttp2-14:arm64 1.43.0-1
2023-05-16 13:39:56 configure libnpth0:arm64 1.6-3 <none>
2023-05-16 13:39:56 status unpacked libnpth0:arm64 1.6-3
2023-05-16 13:39:56 status half-configured libnpth0:arm64 1.6-3
2023-05-16 13:39:56 status installed libnpth0:arm64 1.6-3
2023-05-16 13:39:56 configure libassuan0:arm64 2.5.3-7.1 <none>
2023-05-16 13:39:56 status unpacked libassuan0:arm64 2.5.3-7.1
2023-05-16 13:39:56 status half-configured libassuan0:arm64 2.5.3-7.1
2023-05-16 13:39:56 status installed libassuan0:arm64 2.5.3-7.1
2023-05-16 13:39:56 configure libsasl2-modules-db:arm64 2.1.27+dfsg-2.1+deb11u1 <none>
2023-05-16 13:39:56 status unpacked libsasl2-modules-db:arm64 2.1.27+dfsg-2.1+deb11u1
2023-05-16 13:39:57 status half-configured libsasl2-modules-db:arm64 2.1.27+dfsg-2.1+deb11u1
2023-05-16 13:39:57 status installed libsasl2-modules-db:arm64 2.1.27+dfsg-2.1+deb11u1
2023-05-16 13:39:57 configure gnupg-l10n:all 2.2.27-2+deb11u2 <none>
2023-05-16 13:39:57 status unpacked gnupg-l10n:all 2.2.27-2+deb11u2
2023-05-16 13:39:57 status half-configured gnupg-l10n:all 2.2.27-2+deb11u2
2023-05-16 13:39:57 status installed gnupg-l10n:all 2.2.27-2+deb11u2
2023-05-16 13:39:57 configure librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2 <none>
2023-05-16 13:39:57 status unpacked librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2
2023-05-16 13:39:57 status half-configured librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2
2023-05-16 13:39:57 status installed librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2
2023-05-16 13:39:57 configure libncurses6:arm64 6.2+20201114-2+deb11u1 <none>
2023-05-16 13:39:57 status unpacked libncurses6:arm64 6.2+20201114-2+deb11u1
2023-05-16 13:39:57 status half-configured libncurses6:arm64 6.2+20201114-2+deb11u1
2023-05-16 13:39:57 status installed libncurses6:arm64 6.2+20201114-2+deb11u1
2023-05-16 13:39:57 configure libpng16-16:arm64 1.6.37-3 <none>
2023-05-16 13:39:57 status unpacked libpng16-16:arm64 1.6.37-3
2023-05-16 13:39:57 status half-configured libpng16-16:arm64 1.6.37-3
2023-05-16 13:39:57 status installed libpng16-16:arm64 1.6.37-3
2023-05-16 13:39:57 configure tini:arm64 0.19.0-1 <none>
